"","County","County.Name","Election.District...Precinct","Congressional","Legislative","Office.Name","Office.District","Party","Winner","Early.Votes","Election.Night.Votes","Mail.In.Ballot.1.Votes","Provisional.Votes","Mail.In.Ballot.2.Votes","mail2","full_votes","Gabe Albornoz","Brandy H. M. Brooks","Dana E. Gassaway","Evan Glass","Scott Evan Goldberg","Tom Hucker","Will Jawando","Laurie-Anne Sayles"
"1908",16,"Montgomery County","013-051",8,"19","County Council At Large","16","DEM","Y",79,173,137,19,86,86,494,"Gabe Albornoz",NA,NA,NA,NA,NA,NA,NA
"1909",16,"Montgomery County","013-051",8,"19","County Council At Large","16","DEM","",33,90,30,9,26,26,188,NA,"Brandy H. M. Brooks",NA,NA,NA,NA,NA,NA
"1910",16,"Montgomery County","013-051",8,"19","County Council At Large","16","DEM","",21,62,17,2,6,6,108,NA,NA,"Dana E. Gassaway",NA,NA,NA,NA,NA
"1911",16,"Montgomery County","013-051",8,"19","County Council At Large","16","DEM","Y",80,178,150,24,75,75,507,NA,NA,NA,"Evan Glass",NA,NA,NA,NA
"1912",16,"Montgomery County","013-051",8,"19","County Council At Large","16","DEM","",46,103,80,13,41,41,283,NA,NA,NA,NA,"Scott Evan Goldberg",NA,NA,NA
"1913",16,"Montgomery County","013-051",8,"19","County Council At Large","16","DEM","",50,99,78,7,42,42,276,NA,NA,NA,NA,NA,"Tom Hucker",NA,NA
"1914",16,"Montgomery County","013-051",8,"19","County Council At Large","16","DEM","Y",57,164,117,24,70,70,432,NA,NA,NA,NA,NA,NA,"Will Jawando",NA
"1915",16,"Montgomery County","013-051",8,"19","County Council At Large","16","DEM","Y",66,133,97,14,43,43,353,NA,NA,NA,NA,NA,NA,NA,"Laurie-Anne Sayles"
"1916",16,"Montgomery County","013-052",8,"19","County Council At Large","16","DEM","Y",61,114,79,17,77,77,348,"Gabe Albornoz",NA,NA,NA,NA,NA,NA,NA
"1917",16,"Montgomery County","013-052",8,"19","County Council At Large","16","DEM","",21,45,18,8,18,18,110,NA,"Brandy H. M. Brooks",NA,NA,NA,NA,NA,NA
"1918",16,"Montgomery County","013-052",8,"19","County Council At Large","16","DEM","",24,36,11,6,8,8,85,NA,NA,"Dana E. Gassaway",NA,NA,NA,NA,NA
"1919",16,"Montgomery County","013-052",8,"19","County Council At Large","16","DEM","Y",64,123,84,19,83,83,373,NA,NA,NA,"Evan Glass",NA,NA,NA,NA
"1920",16,"Montgomery County","013-052",8,"19","County Council At Large","16","DEM","",42,79,48,14,48,48,231,NA,NA,NA,NA,"Scott Evan Goldberg",NA,NA,NA
